OBJECTID,Source,WBID,LAKEID,EventType,GISAcres
1207,VT DEC WQD,VT05-10L01_04,,WBID Segments,4.64845372
1209,VT DEC WQD,VT05-10L01_03,,WBID Segments,8.95311845
1210,VT DEC WQD,VT11-10L02,TOWNSHEND,Inventory Lake,71.50243992
1607,VT DEC WQD,VT14-03L03,ABENAKI,Inventory Lake,42.95656151
1608,VT DEC WQD,VT11-13L02,ADAM,Inventory Lake,10.38651654
1610,VT DEC WQD,VT12-04L01,ADAMS (WOODFD),Inventory Lake,33.60746154
1611,VT DEC WQD,VT10-15L02,AMHERST,Inventory Lake,82.44299442
1612,VT DEC WQD,VT09-03L05,ANSEL,Inventory Lake,2.50872694
1613,VT DEC WQD,VT11-05L01,ATHENS,Inventory Lake,20.60087474
1614,VT DEC WQD,VT02-03L03,AUSTIN,Inventory Lake,33.38546322
1615,VT DEC WQD,VT08-08L04,BAILEY,Inventory Lake,17.13962657
1616,VT DEC WQD,VT11-04L01,"BAILEYS MILLS;",Inventory Lake,5.26316822
1617,VT DEC WQD,VT08-17L02,BAKER (BRKFLD),Inventory Lake,37.72053236
1618,VT DEC WQD,VT15-08L01,BALD HILL,Inventory Lake,108.61958331
1619,VT DEC WQD,VT03-08L03,BALDWIN,Inventory Lake,4.6811078
1621,VT DEC WQD,VT01-03L07,BARBER,Inventory Lake,20.94317252
1622,VT DEC WQD,VT01-05L04,BARBOS,Inventory Lake,5.74055082
1623,VT DEC WQD,VT15-05L02,BEAN (LYNDON),Inventory Lake,26.09191274
1625,VT DEC WQD,VT17-02L01,BEAVER (HOLLND),Inventory Lake,38.89405495
1626,VT DEC WQD,VT03-14L06,BEAVER (MENDON),Inventory Lake,5.3058233
1627,VT DEC WQD,VT03-06L01,BEAVER (PROCTR),Inventory Lake,11.09524243
1628,VT DEC WQD,VT08-17L01,BEAVER (ROXBRY),Inventory Lake,5.91262162
1629,VT DEC WQD,VT13-09L01,"BEAVER (WEAFLD);",Inventory Lake,19.85044491
1630,VT DEC WQD,VT09-07L06,BEAVER MEADOWS,Inventory Lake,4.71468502
1631,VT DEC WQD,VT15-08L06,BECK,Inventory Lake,6.67369576
1632,VT DEC WQD,VT02-03L02,BEEBE (HUBDTN),Inventory Lake,112.40813676
1633,VT DEC WQD,VT01-06L02,BEEBE (SUNDLD),Inventory Lake,10.28552947
1634,VT DEC WQD,VT07-06L01,BELDING,Inventory Lake,5.17347711
1635,VT DEC WQD,VT07-14L01,"BELVIDERE-NE;",Inventory Lake,0.62047706
1636,VT DEC WQD,VT08-16L02,BERLIN,Inventory Lake,289.63857124
1637,VT DEC WQD,VT01-03L01,BIG,Inventory Lake,33.73157441
1638,VT DEC WQD,VT03-18L03,BIG MUD,Inventory Lake,18.27706673
1639,VT DEC WQD,VT07-15L04,BIG MUDDY,Inventory Lake,18.87196057
1640,VT DEC WQD,VT02-01L02,BILLINGS MARSH,Inventory Lake,50.90503739
1641,VT DEC WQD,VT02-02L06,BLACK (HUBDTN),Inventory Lake,24.56145288
1642,VT DEC WQD,VT10-15L01,BLACK (PLYMTH),Inventory Lake,20.30518148
1643,VT DEC WQD,VT15-06L02,BLAKE (SHEFLD),Inventory Lake,2.36663887
1644,VT DEC WQD,VT08-14L09,BLISS,Inventory Lake,31.58861333
1645,VT DEC WQD,VT16-09L01,"BLODGETT;",Inventory Lake,14.8074627
1648,VT DEC WQD,VT08-20L01,BLUEBERRY,Inventory Lake,46.30623081
1650,VT DEC WQD,VT08-16L04,BOLSTER,Inventory Lake,4.72002684
1651,VT DEC WQD,VT01-05L01,BOURN,Inventory Lake,56.71400683
1652,VT DEC WQD,VT01-06L01,BRANCH,Inventory Lake,44.06728758
1653,VT DEC WQD,VT02-02L09,BREESE,Inventory Lake,21.54665472
1654,VT DEC WQD,VT14-02L02,"BROCKLEBANK;",Inventory Lake,4.83765515
1655,VT DEC WQD,VT15-08L04,BROWN,Inventory Lake,15.76778629
1656,VT DEC WQD,VT15-06L01,BRUCE,Inventory Lake,27.14770254
1657,VT DEC WQD,VT08-14L02,BUCK,Inventory Lake,47.26831298
1658,VT DEC WQD,VT04-04L02,BULLHEAD (BENSON),Inventory Lake,9.51224522
1659,VT DEC WQD,VT01-05L06,BULLHEAD (MANCHR),Inventory Lake,8.06174367
1660,VT DEC WQD,VT11-13L01,BURBEE,Inventory Lake,32.20656201
1663,VT DEC WQD,VT13-07L04,"BURNHAM MTN;",Inventory Lake,8.01432896
1664,VT DEC WQD,VT03-14L04,BURR (PITTFD),Inventory Lake,19.80316459
1665,VT DEC WQD,VT02-02L04,BURR (SUDBRY),Inventory Lake,85.10366371
1666,VT DEC WQD,VT02-03L10,BUTLER,Inventory Lake,3.15014644
1667,VT DEC WQD,VT07-11L01,"CAP HILL;",Inventory Lake,8.34786431
1668,VT DEC WQD,VT10-04L01,CARLTON,Inventory Lake,2.09102675
1669,VT DEC WQD,VT07-22L04,CASPIAN,Inventory Lake,789.80687368
1670,VT DEC WQD,VT03-08L02,CEDAR,Inventory Lake,127.79019583
1671,VT DEC WQD,VT15-08L03,CENTER,Inventory Lake,81.28640319
1672,VT DEC WQD,VT09-06L02,CHAMPAGNE,Inventory Lake,2.74376488
1673,VT DEC WQD,VT15-05L01,CHANDLER,Inventory Lake,66.80035947
1675,VT DEC WQD,VT11-03L01,CHESTER,Inventory Lake,5.19426966
1676,VT DEC WQD,VT03-15L01,CHIPMAN,Inventory Lake,79.64557315
1677,VT DEC WQD,VT03-14L03,CHITTENDEN,Inventory Lake,748.01498142
1678,VT DEC WQD,VT02-02L10,CHOATE,Inventory Lake,11.8796981
1679,VT DEC WQD,VT12-01L05,CLARA,Inventory Lake,6.26963018
1680,VT DEC WQD,VT07-18L06,CLEAR,Inventory Lake,7.17121405
1681,VT DEC WQD,VT16-18L05,COBURN,Inventory Lake,17.43236762
1682,VT DEC WQD,VT02-01L01,COGGMAN,Inventory Lake,26.91342795
1683,VT DEC WQD,VT08-09L01,COITS,Inventory Lake,39.69244117
1684,VT DEC WQD,VT10-13L01,COLBY,Inventory Lake,21.02243654
1685,VT DEC WQD,VT05-09L03,COLCHESTER,Inventory Lake,191.4273527
1686,VT DEC WQD,VT11-12L01,COLE,Inventory Lake,41.42016566
1687,VT DEC WQD,VT15-02L01,COLES,Inventory Lake,106.80993567
1688,VT DEC WQD,VT07-19L01,COLLINS,Inventory Lake,19.96026877
1689,VT DEC WQD,VT09-07L03,COLTON,Inventory Lake,26.10918342
1690,VT DEC WQD,VT16-05L01,COMERFORD,Inventory Lake,330.66797493
1691,VT DEC WQD,VT10-14L03,COOK,Inventory Lake,2.87214224
1692,VT DEC WQD,VT03-16L01,COOKS (SHRWBY),Inventory Lake,21.34622509
1695,VT DEC WQD,VT10-04L02,COX,Inventory Lake,1.39401635
1696,VT DEC WQD,VT08-14L04,CRANBERRY MEADOW,Inventory Lake,23.40065793
1697,VT DEC WQD,VT09-03L03,CRESCENT,Inventory Lake,17.84300077
1698,VT DEC WQD,VT10-02L02,CRYSTAL (HARTLD),Inventory Lake,2.39395171
1699,VT DEC WQD,VT12-05L03,CRYSTAL (WILMTN),Inventory Lake,2.14647676
1700,VT DEC WQD,VT08-14L08,CURTIS,Inventory Lake,76.21988782
1701,VT DEC WQD,VT05-01L02,CUTLER,Inventory Lake,23.64752916
1702,VT DEC WQD,VT08-05L01,CUTTER,Inventory Lake,15.87720226
1703,VT DEC WQD,VT03-18L05,DANBY,Inventory Lake,65.12362256
1704,VT DEC WQD,VT03-02L01,DANYOW,Inventory Lake,27.95268073
1705,VT DEC WQD,VT12-06L02,DEER PARK,Inventory Lake,18.69944857
1706,VT DEC WQD,VT12-06L01,"DEER PARK-WEST;",Inventory Lake,8.77215288
1707,VT DEC WQD,VT16-12L03,DENNIS,Inventory Lake,41.42672107
1708,VT DEC WQD,VT10-01L01,DEWEYS MILL,Inventory Lake,54.34908248
1709,VT DEC WQD,VT08-14L12,DOBSON,Inventory Lake,9.53567841
1710,VT DEC WQD,VT02-02L13,DOUGHTY,Inventory Lake,12.81391738
1711,VT DEC WQD,VT03-04L10,DOW,Inventory Lake,10.61823666
1712,VT DEC WQD,VT08-16L05,DRY,Inventory Lake,1.72096146
1713,VT DEC WQD,VT17-02L06,DUCK (HOLLND),Inventory Lake,5.75213449
1714,VT DEC WQD,VT05-12L01,DUCK (SHELBN),Inventory Lake,4.2860702
1715,VT DEC WQD,VT15-09L06,DUCK (WATRFD),Inventory Lake,20.08610319
1716,VT DEC WQD,VT03-06L02,DUNKLEE,Inventory Lake,1.4381116
1717,VT DEC WQD,VT03-04L05,DUNMORE,Inventory Lake,1039.59474131
1718,VT DEC WQD,VT16-14L01,DUTTON,Inventory Lake,13.13818304
1719,VT DEC WQD,VT07-21L01,EAST LONG,Inventory Lake,185.34463676
1720,VT DEC WQD,VT11-05L02,EAST TWIN,Inventory Lake,0.86848237
1722,VT DEC WQD,VT02-03L01,ECHO (HUBDTN),Inventory Lake,54.9775388
1723,VT DEC WQD,VT10-15L03,ECHO (PLYMTH),Inventory Lake,100.14819046
1724,VT DEC WQD,VT07-15L01,EDEN,Inventory Lake,198.01624969
1725,VT DEC WQD,VT03-14L07,"ELBOW;",Inventory Lake,0.97905403
1726,VT DEC WQD,VT03-18L04,ELFIN,Inventory Lake,20.40652638
1727,VT DEC WQD,VT17-10L01,ELLIGO,Inventory Lake,182.06925089
1728,VT DEC WQD,VT07-08L02,ELMORE,Inventory Lake,222.31474919
